OWNER,TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,COLUMN_NAME,POSITION,R_OWNER,REFERENCED_TABLE
APP,ORD_ORDER,PK_ORD_ORDER,P,ORDER_ID,1,,
APP,ORD_LINE,PK_ORD_LINE,P,LINE_ID,1,,
APP,ORD_STATUS_HIST,PK_ORD_STATUS_HIST,P,HIST_ID,1,,
APP,CAT_SKU,PK_CAT_SKU,P,SKU_ID,1,,
APP,CAT_CATEGORY,PK_CAT_CATEGORY,P,CAT_ID,1,,
APP,CAT_SKU_CAT,PK_CAT_SKU_CAT,P,SKU_ID,1,,
APP,APP_CUSTOMER,PK_APP_CUSTOMER,P,CUSTOMER_ID,1,,
APP,TMP_IMPORT_2019,PK_TMP_IMPORT_2019,P,ID,1,,
APP,CTL_JOB_LOG,PK_CTL_JOB_LOG,P,JOB_ID,1,,
BILLING,BIL_INVOICE,PK_BIL_INVOICE,P,INVOICE_ID,1,,
BILLING,BIL_INVOICE_LINE,PK_BIL_INVOICE_LINE,P,LINE_ID,1,,
BILLING,BIL_PAYMENT,PK_BIL_PAYMENT,P,PAY_ID,1,,
APP,ORD_LINE,FK_ORD_LINE_1,R,SOME_ID,1,APP,ORD_ORDER
APP,ORD_LINE,FK_ORD_LINE_2,R,SOME_ID,1,APP,CAT_SKU
APP,ORD_STATUS_HIST,FK_ORD_STATUS_HIST_3,R,SOME_ID,1,APP,ORD_ORDER
APP,ORD_ORDER,FK_ORD_ORDER_4,R,SOME_ID,1,APP,APP_CUSTOMER
APP,CAT_SKU_CAT,FK_CAT_SKU_CAT_5,R,SOME_ID,1,APP,CAT_SKU
APP,CAT_SKU_CAT,FK_CAT_SKU_CAT_6,R,SOME_ID,1,APP,CAT_CATEGORY
BILLING,BIL_INVOICE,FK_BIL_INVOICE_7,R,SOME_ID,1,APP,ORD_ORDER
BILLING,BIL_INVOICE_LINE,FK_BIL_INVOICE_LINE_8,R,SOME_ID,1,BILLING,BIL_INVOICE
BILLING,BIL_PAYMENT,FK_BIL_PAYMENT_9,R,SOME_ID,1,BILLING,BIL_INVOICE
