OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,DATA_LENGTH,NULLABLE,TABLE_COMMENT,COLUMN_COMMENT
APP,ORD_ORDER,1,ORDER_ID,VARCHAR2,64,N,Customer order header,the order id
APP,ORD_ORDER,2,CUSTOMER_ID,VARCHAR2,64,N,Customer order header,the customer id
APP,ORD_ORDER,3,STATUS,VARCHAR2,64,N,Customer order header,
APP,ORD_ORDER,4,CREATED,VARCHAR2,64,N,Customer order header,
APP,ORD_LINE,1,LINE_ID,VARCHAR2,64,N,,the line id
APP,ORD_LINE,2,ORDER_ID,VARCHAR2,64,N,,the order id
APP,ORD_LINE,3,SKU_ID,VARCHAR2,64,N,,the sku id
APP,ORD_LINE,4,QTY,VARCHAR2,64,N,,
APP,ORD_STATUS_HIST,1,HIST_ID,VARCHAR2,64,N,,the hist id
APP,ORD_STATUS_HIST,2,ORDER_ID,VARCHAR2,64,N,,the order id
APP,ORD_STATUS_HIST,3,STATUS,VARCHAR2,64,N,,
APP,ORD_STATUS_HIST,4,AT,VARCHAR2,64,N,,
APP,CAT_SKU,1,SKU_ID,VARCHAR2,64,N,Sellable item,the sku id
APP,CAT_SKU,2,NAME,VARCHAR2,64,N,Sellable item,
APP,CAT_SKU,3,PRICE,VARCHAR2,64,N,Sellable item,
APP,CAT_CATEGORY,1,CAT_ID,VARCHAR2,64,N,,the cat id
APP,CAT_CATEGORY,2,NAME,VARCHAR2,64,N,,
APP,CAT_SKU_CAT,1,SKU_ID,VARCHAR2,64,N,,the sku id
APP,CAT_SKU_CAT,2,CAT_ID,VARCHAR2,64,N,,the cat id
APP,APP_CUSTOMER,1,CUSTOMER_ID,VARCHAR2,64,N,,the customer id
APP,APP_CUSTOMER,2,NAME,VARCHAR2,64,N,,
APP,APP_CUSTOMER,3,EMAIL,VARCHAR2,64,N,,
APP,TMP_IMPORT_2019,1,ID,VARCHAR2,64,N,,
APP,TMP_IMPORT_2019,2,BLOB_REF,VARCHAR2,64,N,,
APP,CTL_JOB_LOG,1,JOB_ID,VARCHAR2,64,N,,the job id
APP,CTL_JOB_LOG,2,RAN_AT,VARCHAR2,64,N,,
BILLING,BIL_INVOICE,1,INVOICE_ID,VARCHAR2,64,N,Issued invoice,the invoice id
BILLING,BIL_INVOICE,2,ORDER_ID,VARCHAR2,64,N,Issued invoice,the order id
BILLING,BIL_INVOICE,3,AMOUNT,VARCHAR2,64,N,Issued invoice,
BILLING,BIL_INVOICE_LINE,1,LINE_ID,VARCHAR2,64,N,,the line id
BILLING,BIL_INVOICE_LINE,2,INVOICE_ID,VARCHAR2,64,N,,the invoice id
BILLING,BIL_INVOICE_LINE,3,AMOUNT,VARCHAR2,64,N,,
BILLING,BIL_PAYMENT,1,PAY_ID,VARCHAR2,64,N,,the pay id
BILLING,BIL_PAYMENT,2,INVOICE_ID,VARCHAR2,64,N,,the invoice id
BILLING,BIL_PAYMENT,3,PAID_AT,VARCHAR2,64,N,,
